id,time,head,total_inflow
BC-BB-F3-18890,2019-03-23 06:12:00,0.048648,
BC-BB-F3-18890,2019-03-23 06:13:00,0.048458,
BC-BB-F3-18890,2019-03-23 06:14:00,0.048258,
BC-BB-F3-18890,2019-03-23 06:15:00,0.048052,
BC-BB-F3-18890,2019-03-23 06:16:00,0.047844,
BC-BB-F3-18890,2019-03-23 06:17:00,0.047645,
BC-BB-F3-18890,2019-03-23 06:18:00,0.047455,
BC-BB-F3-18890,2019-03-23 06:19:00,0.047266,
BC-BB-F3-18890,2019-03-23 06:20:00,0.047077,
BC-BB-F3-18890,2019-03-23 06:21:00,0.046884,
BC-BB-F3-18890,2019-03-23 06:22:00,0.04668,
BC-BB-F3-18890,2019-03-23 06:23:00,0.04647,
BC-BB-F3-18890,2019-03-23 06:24:00,0.04626,
BC-BB-F3-18890,2019-03-23 06:25:00,0.046061,
BC-BB-F3-18890,2019-03-23 06:26:00,0.045868,
BC-BB-F3-18890,2019-03-23 06:27:00,0.045678,
BC-BB-F3-18890,2019-03-23 06:28:00,0.045486,
BC-BB-F3-18890,2019-03-23 06:29:00,0.045286,
BC-BB-F3-18890,2019-03-23 06:30:00,0.045077,
BC-BB-F3-18890,2019-03-23 06:31:00,0.044866,
BC-BB-F3-18890,2019-03-23 06:32:00,0.04466,
BC-BB-F3-18890,2019-03-23 06:33:00,0.044467,
BC-BB-F3-18890,2019-03-23 06:34:00,0.04428,
BC-BB-F3-18890,2019-03-23 06:35:00,0.044094,
BC-BB-F3-18890,2019-03-23 06:36:00,0.043904,
BC-BB-F3-18890,2019-03-23 06:37:00,0.043705,
BC-BB-F3-18890,2019-03-23 06:38:00,0.043502,
BC-BB-F3-18890,2019-03-23 06:39:00,0.0433,
BC-BB-F3-18890,2019-03-23 06:40:00,0.043108,
BC-BB-F3-18890,2019-03-23 06:41:00,0.042928,
BC-BB-F3-18890,2019-03-23 06:42:00,0.042752,
BC-BB-F3-18890,2019-03-23 06:43:00,0.042576,
BC-BB-F3-18890,2019-03-23 06:44:00,0.042392,
BC-BB-F3-18890,2019-03-23 06:45:00,0.042201,
BC-BB-F3-18890,2019-03-23 06:46:00,0.042011,
BC-BB-F3-18890,2019-03-23 06:47:00,0.041825,
BC-BB-F3-18890,2019-03-23 06:48:00,0.041653,
BC-BB-F3-18890,2019-03-23 06:49:00,0.041489,
BC-BB-F3-18890,2019-03-23 06:50:00,0.041329,
BC-BB-F3-18890,2019-03-23 06:51:00,0.041164,
BC-BB-F3-18890,2019-03-23 06:52:00,0.04099,
BC-BB-F3-18890,2019-03-23 06:53:00,0.040815,
BC-BB-F3-18890,2019-03-23 06:54:00,0.040642,
BC-BB-F3-18890,2019-03-23 06:55:00,0.040479,
BC-BB-F3-18890,2019-03-23 06:56:00,0.04033,
BC-BB-F3-18890,2019-03-23 06:57:00,0.040186,
BC-BB-F3-18890,2019-03-23 06:58:00,0.040044,
BC-BB-F3-18890,2019-03-23 06:59:00,0.039891,
BC-BB-F3-18890,2019-03-23 07:00:00,0.039734,
BC-BB-F3-18890,2019-03-23 07:01:00,0.039577,
BC-BB-F3-18890,2019-03-23 07:02:00,0.039424,
BC-BB-F3-18890,2019-03-23 07:03:00,0.039284,
BC-BB-F3-18890,2019-03-23 07:04:00,0.039153,
BC-BB-F3-18890,2019-03-23 07:05:00,0.039025,
BC-BB-F3-18890,2019-03-23 07:06:00,0.03889,
BC-BB-F3-18890,2019-03-23 07:07:00,0.038746,
BC-BB-F3-18890,2019-03-23 07:08:00,0.038598,
BC-BB-F3-18890,2019-03-23 07:09:00,0.03845,
BC-BB-F3-18890,2019-03-23 07:10:00,0.038308,
BC-BB-F3-18890,2019-03-23 07:11:00,0.038179,
BC-BB-F3-18890,2019-03-23 07:12:00,0.038055,
BC-BB-F3-18890,2019-03-23 07:13:00,0.03793,
BC-BB-F3-18890,2019-03-23 07:14:00,0.037794,
BC-BB-F3-18890,2019-03-23 07:15:00,0.03765,
BC-BB-F3-18890,2019-03-23 07:16:00,0.037504,
BC-BB-F3-18890,2019-03-23 07:17:00,0.03736,
BC-BB-F3-18890,2019-03-23 07:18:00,0.037224,
BC-BB-F3-18890,2019-03-23 07:19:00,0.037098,
BC-BB-F3-18890,2019-03-23 07:20:00,0.036976,
BC-BB-F3-18890,2019-03-23 07:21:00,0.036848,
BC-BB-F3-18890,2019-03-23 07:22:00,0.036709,
BC-BB-F3-18890,2019-03-23 07:23:00,0.036563,
BC-BB-F3-18890,2019-03-23 07:24:00,0.036416,
BC-BB-F3-18890,2019-03-23 07:25:00,0.036271,
BC-BB-F3-18890,2019-03-23 07:26:00,0.036135,
BC-BB-F3-18890,2019-03-23 07:27:00,0.036009,
BC-BB-F3-18890,2019-03-23 07:28:00,0.035885,
BC-BB-F3-18890,2019-03-23 07:29:00,0.035753,
BC-BB-F3-18890,2019-03-23 07:30:00,0.03561,
BC-BB-F3-18890,2019-03-23 07:31:00,0.035463,
BC-BB-F3-18890,2019-03-23 07:32:00,0.035316,
BC-BB-F3-18890,2019-03-23 07:33:00,0.035171,
BC-BB-F3-18890,2019-03-23 07:34:00,0.035038,
BC-BB-F3-18890,2019-03-23 07:35:00,0.034914,
BC-BB-F3-18890,2019-03-23 07:36:00,0.034793,
BC-BB-F3-18890,2019-03-23 07:37:00,0.034663,
BC-BB-F3-18890,2019-03-23 07:38:00,0.034523,
BC-BB-F3-18890,2019-03-23 07:39:00,0.034381,
BC-BB-F3-18890,2019-03-23 07:40:00,0.034239,
BC-BB-F3-18890,2019-03-23 07:41:00,0.0341,
BC-BB-F3-18890,2019-03-23 07:42:00,0.033973,
BC-BB-F3-18890,2019-03-23 07:43:00,0.033857,
BC-BB-F3-18890,2019-03-23 07:44:00,0.033743,
BC-BB-F3-18890,2019-03-23 07:45:00,0.033621,
BC-BB-F3-18890,2019-03-23 07:46:00,0.033489,
BC-BB-F3-18890,2019-03-23 07:47:00,0.033354,
BC-BB-F3-18890,2019-03-23 07:48:00,0.03322,
BC-BB-F3-18890,2019-03-23 07:49:00,0.03309,
BC-BB-F3-18890,2019-03-23 07:50:00,0.032968,
BC-BB-F3-18890,2019-03-23 07:51:00,0.032858,
BC-BB-F3-18890,2019-03-23 07:52:00,0.032753,
BC-BB-F3-18890,2019-03-23 07:53:00,0.032641,
BC-BB-F3-18890,2019-03-23 07:54:00,0.032518,
BC-BB-F3-18890,2019-03-23 07:55:00,0.03239,
BC-BB-F3-18890,2019-03-23 07:56:00,0.032263,
BC-BB-F3-18890,2019-03-23 07:57:00,0.032139,
BC-BB-F3-18890,2019-03-23 07:58:00,0.032019,
BC-BB-F3-18890,2019-03-23 07:59:00,0.031914,
BC-BB-F3-18890,2019-03-23 08:00:00,0.031815,
BC-BB-F3-18890,2019-03-23 08:01:00,0.031713,
BC-BB-F3-18890,2019-03-23 08:02:00,0.031598,
BC-BB-F3-18890,2019-03-23 08:03:00,0.031477,
BC-BB-F3-18890,2019-03-23 08:04:00,0.031355,
BC-BB-F3-18890,2019-03-23 08:05:00,0.031234,
BC-BB-F3-18890,2019-03-23 08:06:00,0.031117,
BC-BB-F3-18890,2019-03-23 08:07:00,0.031009,
BC-BB-F3-18890,2019-03-23 08:08:00,0.030914,
BC-BB-F3-18890,2019-03-23 08:09:00,0.030822,
BC-BB-F3-18890,2019-03-23 08:10:00,0.030719,
BC-BB-F3-18890,2019-03-23 08:11:00,0.030605,
BC-BB-F3-18890,2019-03-23 08:12:00,0.030487,
BC-BB-F3-18890,2019-03-23 08:13:00,0.03037,
